sentiment,text
Positive,The Da Vinci Code book is just awesome.
Positive,"this was the first clive cussler i've ever read, but even books like Relic, and Da Vinci code were more plausible than this."
Positive,i liked the Da Vinci Code a lot.
Positive,i liked the Da Vinci Code a lot.
Positive,I liked the Da Vinci Code but it ultimatly didn't seem to hold it's own.
Positive,"that's not even an exaggeration ) and at midnight we went to Wal-Mart to buy the Da Vinci Code, which is amazing of course."
Positive,"I loved the Da Vinci Code, but now I want something better and different!.."
Positive,"i thought da vinci code was great, same with kite runner."
Positive,The Da Vinci Code is actually a good movie...
Positive,I thought the Da Vinci Code was a pretty good book.
Positive,The Da Vinci Code is one of the most beautiful movies ive ever seen.
Positive,"The Da Vinci Code is an * amazing * book, do not get me wrong."
Positive,then I turn on the light and the radio and enjoy my Da Vinci Code.
Positive,The Da Vinci Code was REALLY good.
Positive,i love da vinci code....
Positive,i loved da vinci code..
Positive,TO NIGHT:: THE DA VINCI CODE AND A BEAUTIFUL MIND...
Positive,THE DA VINCI CODE is AN AWESOME BOOK....
Positive,"Thing is, I enjoyed The Da Vinci Code."
Positive,very da vinci code slash amazing race.
Positive,Hey I loved The Da Vinci Code!..
Positive,also loved the da vinci code..
Positive,I really enjoyed the Da Vinci Code but thought I would be disappointed in the other books & # 823Negative;.
Positive,I do like Angels and Demons more then The Da Vinci Code.
Positive,The Da Vinci Code was a really good movie.
Positive,"yeah, da vinci code is an awesome movie i liked it pretty interesting."
Positive,I really like The Da Vinci Code.
Positive,Da Vinci Code is amazing.
Positive,The Da Vinci Code was awesome...
Positive,"The Da Vinci Code's backtory on various religious historical figures and such were interesting at times, but I'm more of scifi girl at heart."
Positive,Book ( s ): I love The Da Vinci Code..
Positive,"And then we went to see The Da Vinci Code, which was CRAZY awesome and Ian McKellen is my old, gay husband."
Positive," Now some people will say to me, Joe, I liked the Da Vinci code, you're being too hard on Dan Brown.
Positive	I love the da vinci code...
Positive	Well I did enjoy Bridget Jones and I loved the Da Vinci Code so this idea appeals to me and it takes Chick Lit into one of the few arenas that the genre has yet to explore...
Positive	I just read Da Vinci Code ( which was AWESOME by the way )  .
Positive	The Da Vinci Code is excellent if you read it as normal as you read other novels,,,..
Positive	I loved the Da Vinci Code!
Positive	I love reading The Da Vinci Code!!!!
Positive	I'm telling you, the Da Vinci Code is an AWESOME book!
Positive	Then again, my opinion may be a bit biased because I loved the Da Vinci Code soundtrack. ).
Positive	And I was quite pleased with my own open-mindedness, after having loved The Da Vinci Code so much, that I was able to get equal enjoyment  seeing how the other side reads."
Positive,I love the Da Vinci Code.
Positive,Da Vinci code is awesome!
